X_world,Y_world,R_world
-1.745187292507903365e+01,5.098506155855741895e+02,5.532197781106612533e-01
-1.548067432356543627e+01,5.017819050223245085e+02,7.464076371334318338e-01
-1.875900636171417446e+01,5.039147301406761130e+02,7.200638381757813455e-01
-1.748941858348009504e+01,5.074036189173928619e+02,4.917509138761433363e-01
-1.472207909785164404e+01,5.821394961360751950e+02,6.234699086643959998e-01
-1.910465927157145316e+01,5.907386358571271785e+02,5.971261097067455115e-01
-1.718990481745423793e+01,5.948208072554477894e+02,3.863757180455411611e-01
-1.645612312966703783e+01,6.226824909253255100e+02,4.390633159608422487e-01
-1.961030066633881574e+01,6.232994598009794345e+02,5.093134465145769951e-01
-2.232926817242351447e+01,6.296697936904942026e+02,4.741883812377096219e-01
-1.710167013922175983e+01,6.267007825110723616e+02,4.302820496416254192e-01
-2.019346841711461593e+01,6.326612794323975777e+02,4.829696475569264513e-01
-1.987043804720267914e+01,6.181494715428708560e+02,5.180947128337938246e-01
-1.581819473800863740e+01,6.189101070848761310e+02,4.215007833224085898e-01
-2.014986769764249175e+01,6.302581083168410032e+02,4.127195170031917049e-01
-1.936897547677772025e+01,6.295778382672955331e+02,3.424693864494569584e-01
-2.127610431241438960e+01,6.276184140874837567e+02,3.161255874918064146e-01
-1.850842840350703966e+01,6.327738151702708365e+02,4.039382506839748754e-01
-2.159675937581311089e+01,6.529106213712617546e+02,4.390633159608422487e-01
-1.885341135187865191e+01,6.451074270009851261e+02,4.039382506839748754e-01
-1.756801657587020316e+01,6.476011219266404169e+02,3.863757180455411611e-01
-2.086800230263103373e+01,6.551264370622093338e+02,4.390633159608422487e-01
-2.040525701210572151e+01,6.534760453900047423e+02,3.512506527686737878e-01
-1.877462493521135656e+01,6.437008739407615394e+02,3.775944517263243316e-01
-2.516097692041327605e+01,6.596309211333567646e+02,2.546567232572884976e-01
-1.977643086906223857e+01,6.336156931378409354e+02,3.775944517263243316e-01
-2.356712339354239916e+01,6.559175847540287805e+02,2.985630548533727557e-01
-1.972189405411999630e+01,6.516767619392149982e+02,3.161255874918064146e-01
-2.348740819157263360e+01,6.569665852625748812e+02,3.073443211725895852e-01
-1.937772903626751386e+01,6.567941447473991730e+02,2.546567232572884976e-01
-2.210639513368844078e+01,6.556366350267696816e+02,1.668440600651200645e-01
-2.633360103483184744e+01,6.525642409921634908e+02,2.370941906188548109e-01
-1.953220425858277309e+01,6.581777497614626782e+02,2.897817885341558708e-01
-1.997391478119999420e+01,6.602352231523600494e+02,2.107503916612042949e-01
-1.963064177820927725e+01,6.604177805396267331e+02,8.781266319216844696e-02
-2.071558900005503645e+01,6.675701557401994251e+02,3.424693864494569584e-01
-2.015480107570498802e+01,6.657661972289998857e+02,2.722192558957222119e-01
-1.995360972389734400e+01,6.644630168153445311e+02,2.458754569380716681e-01
-1.571710174734844578e+01,6.730580713534170627e+02,2.370941906188548109e-01
-2.539319657737165059e+01,6.639341189307084505e+02,2.634379895765053270e-01
-1.962906963917232162e+01,6.659129132283534318e+02,2.722192558957222119e-01
-2.152234844710476125e+01,6.720903322566933866e+02,2.283129242996379815e-01
-2.082587038784451039e+01,6.708211136728015163e+02,2.019691253419874377e-01
-2.612300638166735922e+01,6.699560423075888593e+02,1.492815274266863779e-01
-2.211209494424159772e+01,6.701924931591056520e+02,1.668440600651200645e-01
-1.951306854582399453e+01,6.599028512765439700e+02,1.141564621498189908e-01
-2.596496643825151907e+01,6.896403594998374729e+02,2.985630548533727557e-01
-2.113771868434358225e+01,6.980384655108184688e+02,2.722192558957222119e-01
-2.800331093832063800e+01,7.101040013524502683e+02,1.844065927035537511e-01
-2.515849064467798257e+01,6.945167196094996598e+02,2.019691253419874377e-01
-2.221627610308959788e+01,6.995037042942735752e+02,1.580627937459032073e-01
-2.125295653481753178e+01,6.931269423313450488e+02,1.405002611074695207e-01
-2.490268319983760037e+01,6.906368101652071800e+02,1.141564621498189908e-01
-1.918233898676822236e+01,7.334594026790000498e+02,3.863757180455411611e-01
-2.269545347800527679e+01,7.353631335937096765e+02,3.512506527686737878e-01
-1.794330884566015172e+01,7.351262825562214402e+02,3.512506527686737878e-01
-1.566486949636303727e+01,7.341968638081857534e+02,3.688131854071075022e-01
-1.687243851288297236e+01,7.321183972365155341e+02,4.390633159608422487e-01
-2.198248908407945024e+01,7.387894264048103423e+02,2.810005222149390414e-01
-2.167941717027212434e+01,7.392577541923386661e+02,2.634379895765053270e-01
-2.453259976441603030e+01,7.381427694681855201e+02,3.073443211725895852e-01
-2.021991404595119590e+01,7.493918090285964126e+02,3.600319190878906728e-01
-1.965703712806034886e+01,7.556265178671752665e+02,3.775944517263243316e-01
-2.350515856262063963e+01,7.572636509062626828e+02,3.863757180455411611e-01
-1.962177082455599475e+01,7.436359846584770139e+02,3.688131854071075022e-01
-2.209231442746406415e+01,7.555092149591149564e+02,2.810005222149390414e-01
-2.054345710312917817e+01,7.467318201561554361e+02,2.985630548533727557e-01
-2.228468254660774406e+01,7.619532800614381358e+02,2.897817885341558708e-01
-2.369810204385145269e+01,7.426925820971946450e+02,2.546567232572884976e-01
-2.685134102046335869e+01,7.569893427911051731e+02,2.810005222149390414e-01
-1.842273572632543832e+01,7.422353067027323732e+02,2.546567232572884976e-01
-3.171772417005823996e+01,7.414754085820588898e+02,1.405002611074695207e-01
-2.500622980552924446e+01,7.416710846987276682e+02,1.405002611074695207e-01
-2.976536278659855483e+01,7.475365436030267574e+02,9.659392951138529027e-02
