X_world,Y_world,R_world
-7.084800704794618653e+00,2.251297845365923820e+02,1.044970691986804479e+00
-2.238424667497914911e+00,2.340838540121628739e+02,7.815327024102992626e-01
-3.974308554097756740e+00,2.297573334583604492e+02,7.200638381757813455e-01
-1.430506270262555724e+00,2.535343539009621452e+02,5.532197781106612533e-01
-4.005080595028633894e+00,2.594888407953474712e+02,6.410324413028296586e-01
-2.084681437233915524e+00,2.559612670054117700e+02,5.444385117914444239e-01
9.960199937431060135e-01,2.828091129632527441e+02,6.761575065796970874e-01
-3.543916221922204457e+00,2.977830921274119760e+02,6.146886423451791703e-01
-4.945912006667803951e+00,3.272675205221416377e+02,4.478445822800590781e-01
-3.266471150497692655e+00,3.150186421903783298e+02,5.005321801953601657e-01
-4.556285837489213897e+00,3.041154907195055443e+02,4.478445822800590781e-01
-4.310326143003097243e+00,3.536608047900891734e+02,5.180947128337938246e-01
-3.326038378365415715e-01,3.424419774333622399e+02,5.444385117914444239e-01
-5.145049544364413308e+00,3.391420306838542160e+02,4.741883812377096219e-01
-3.070632967697660920e+00,3.340164426696343298e+02,5.093134465145769951e-01
-2.833858471986171246e+00,3.405599825391897753e+02,5.005321801953601657e-01
-1.681431392588092377e+00,3.387217333431782436e+02,4.302820496416254192e-01
-9.130505314330501498e-01,3.324289824805936746e+02,4.654071149184927925e-01
-3.870215921119995350e+00,3.667749338557250098e+02,5.093134465145769951e-01
-2.006146596785050473e+00,3.642698630465837937e+02,3.863757180455411611e-01
-4.712677260091832743e+00,3.597314211305916274e+02,3.951569843647580460e-01
-4.967794584058042417e+00,3.808095855353731736e+02,3.951569843647580460e-01
-3.999733968865019307e+00,3.794350641004155591e+02,4.478445822800590781e-01
-1.758410592911951653e+01,3.880848129870037155e+02,4.390633159608422487e-01
-3.258713144035833675e+00,3.933526817355740945e+02,3.951569843647580460e-01
-4.953650807954844915e+00,3.977277603162384594e+02,3.951569843647580460e-01
2.728473095137607718e+00,3.858871197056873257e+02,4.127195170031917049e-01
-7.021935256517756407e+00,3.990394340050973483e+02,3.688131854071075022e-01
-5.532472984287966078e+00,3.905764700371366871e+02,4.566258485992759630e-01
-3.264152500296058967e+00,3.834962837648257619e+02,3.424693864494569584e-01
-4.051507319336956847e+00,4.399745427063602961e+02,3.336881201302401290e-01
-5.962236434115833816e+00,4.521681036310889112e+02,3.688131854071075022e-01
-3.311648360769276600e+00,4.587556596308569397e+02,4.039382506839748754e-01
-3.729651334928635098e+00,4.616540795111565103e+02,3.600319190878906728e-01
-3.379422089262585693e+00,4.439003626908655633e+02,2.985630548533727557e-01
-8.216575762783994819e+00,4.685808532725440045e+02,3.775944517263243316e-01
-8.739561811902460065e+00,4.664913419586969781e+02,3.336881201302401290e-01
-7.306132718605051757e+00,4.652527042302820632e+02,3.600319190878906728e-01
