X_world,Y_world,R_world
-1.373224278975935420e+01,7.398937872534952476e+02,1.229377284690358341e-01
-1.470483221637478444e+01,7.419922311498920635e+02,1.141564621498189908e-01
-1.654730197846911466e+01,7.838876949684774900e+02,1.931878590227705805e-01
-9.535840782419677808e+00,7.693485516723802675e+02,2.810005222149390414e-01
-8.635864818196315795e+00,7.631575800051087981e+02,2.810005222149390414e-01
-1.218007826461615473e+01,7.768267568454839420e+02,2.283129242996379815e-01
-2.004589496197679921e+01,7.846740085618883995e+02,2.283129242996379815e-01
-1.099507326942370966e+01,7.812424016368720459e+02,1.931878590227705805e-01
-1.002576476192895427e+01,7.634015641308805016e+02,1.931878590227705805e-01
-6.773734994350395944e+00,7.771597812154933536e+02,1.580627937459032073e-01
-6.048346232234554698e+00,7.716764618889683334e+02,2.019691253419874377e-01
-7.023180184047707719e+00,7.973393206269674920e+02,2.370941906188548109e-01
-9.113542952478713488e+00,8.096086077484052339e+02,2.634379895765053270e-01
-1.275869441768243107e+01,7.907486949715763558e+02,2.458754569380716681e-01
-1.666329707194236320e+01,7.879788724681305894e+02,1.931878590227705805e-01
-2.194105014769609241e+01,7.936051291137380304e+02,2.107503916612042949e-01
-1.683418581602018804e+01,8.104013390250835300e+02,1.405002611074695207e-01
-2.010583247802851048e+01,7.887575370315355485e+02,2.107503916612042949e-01
-1.245362653600351521e+01,7.971306943351478367e+02,1.931878590227705805e-01
-1.072691426512293766e+01,8.098163005790123634e+02,2.195316579804211243e-01
-1.156159116345727433e+01,7.911728782806667368e+02,1.844065927035537511e-01
-1.531566005630751626e+01,7.917067665861518435e+02,1.756253263843368939e-01
-1.170658721593397900e+01,8.046075438676700742e+02,1.668440600651200645e-01
-1.559945440407516593e+01,8.049920918907041596e+02,1.492815274266863779e-01
-1.220545301307007691e+01,7.954426296566249448e+02,1.844065927035537511e-01
-2.587500773062655668e+01,8.062425028666083335e+02,1.405002611074695207e-01
-1.656253078223052100e+01,7.945715032174284715e+02,1.405002611074695207e-01
-1.633733825263356820e+01,7.866656052605954983e+02,1.141564621498189908e-01
-1.376763492843478254e+01,7.955875714962357961e+02,9.659392951138529027e-02
