X_world,Y_world,R_world
-1.460018623949951611e+01,4.079222956132956028e+02,4.390633159608422487e-01
-1.228213879744287773e+01,5.021775674208655573e+02,3.688131854071075022e-01
-1.143568763236847197e+01,5.453524750935154088e+02,2.810005222149390414e-01
-1.224420290955858981e+01,5.604251988986827655e+02,2.722192558957222119e-01
-1.529759331918748444e+01,5.466817180556317908e+02,2.370941906188548109e-01
-1.289026739417753475e+01,5.628207668369519752e+02,2.019691253419874377e-01
-1.296531890771071716e+01,5.561984045272716912e+02,1.580627937459032073e-01
-1.353559051632639765e+01,5.570176861505464103e+02,1.317189947882526635e-01
-1.314091240538863659e+01,5.781219054914964772e+02,2.546567232572884976e-01
-1.072458111258802482e+01,5.782149230221828020e+02,2.458754569380716681e-01
-1.170394353055078263e+01,5.812241514261828570e+02,2.810005222149390414e-01
-1.155310058958159480e+01,5.912538230331106206e+02,2.458754569380716681e-01
-1.231960015632604311e+01,5.742408899185500104e+02,2.546567232572884976e-01
-1.321327491873145377e+01,5.888064534350527310e+02,2.283129242996379815e-01
-7.518077949316794850e+00,5.884083038230486409e+02,2.283129242996379815e-01
-1.470980713594300759e+01,5.737075365545008481e+02,2.985630548533727557e-01
-1.254760902394777311e+01,5.807704779513287576e+02,2.546567232572884976e-01
-1.312750912695679695e+01,5.764749563879473726e+02,2.897817885341558708e-01
-1.165362786632671543e+01,5.880169386725360710e+02,2.546567232572884976e-01
-1.053785710301183798e+01,5.807933690197913847e+02,2.195316579804211243e-01
-1.250862184038792968e+01,5.731975289506854097e+02,2.458754569380716681e-01
-7.930958651738746923e+00,5.779832618128732520e+02,2.546567232572884976e-01
-1.287348605181196426e+01,5.725220563761006360e+02,2.810005222149390414e-01
-1.284327194003017247e+01,5.747892681060792484e+02,2.195316579804211243e-01
-8.430285113979035572e+00,5.845926236494171917e+02,2.195316579804211243e-01
-1.078986503323423563e+01,5.744869428615203333e+02,2.195316579804211243e-01
-1.192517642632498998e+01,5.925987270745177966e+02,1.844065927035537511e-01
-1.207020569486719630e+01,5.818726724844080991e+02,1.756253263843368939e-01
-1.047872457460351292e+01,5.889296749210188864e+02,2.019691253419874377e-01
-1.351995472726655301e+01,5.709276857178580258e+02,1.844065927035537511e-01
-1.391612483101925868e+01,5.765108434503725903e+02,2.107503916612042949e-01
